Order,Species,AdultBodyMass,Temperature,SexualMaturityAge,TrophicLevel,NeonateBodyMass,GestationLen,SocialGrpSize,WeaningAge,Social
Rodentia,sorellus,20.0,7.089,,,,,,,
Rodentia,tener,13.8,20.769,,,,,,,
Rodentia,tocantinsi,,,,,,,,,
Rodentia,venustus,49.33,,,,,,,,
Rodentia,bailwardi,21.38,13.014,,,,,,,
Rodentia,baluchi,,6.353,,,,,,,
Rodentia,elburzensis,,11.802,,,,,,,
Rodentia,grandis,,,,,,,,,
Rodentia,hotsoni,,20.75,,,,,,,
Rodentia,mystax,,,,,,,,,
Rodentia,tsolovi,,17.1,,,,,,,
Rodentia,urartensis,,9.145,,,,,,,
Diprotodontia,campestris,927.57,,,,,,,,
Carnivora,microtis,8363.22,23.549,,3.0,,,1.0,,True
Rodentia,africanus,2875.65,24.077,,2.0,146.27,108.18,1.0,0.124301369863,True
Rodentia,macrourus,2000.0,21.583,,2.0,,,,,
Carnivora,paludinosus,3600.16,23.339,0.643369863014,2.0,100.0,77.27,,0.0983287671233,
Rodentia,getulus,250.57,15.601,,,,,,,
Rodentia,boliviensis,70.91,7.172,,,,,,,
Rodentia,pictus,48.97,8.066,,,,,,,
Rodentia,sublimis,38.0,3.857,,,,,,,
Primates,laniger,1092.28,19.746,,1.0,,136.15,2.0,0.408630136986,False
Primates,occidentalis,828.98,24.949,,1.0,,,3.0,,False
Primates,unicolor,,20.751,,,,,,,
Artiodactyla,axis,69499.99,25.661,1.48953424658,,3156.86,227.49,,0.333315068493,
Artiodactyla,calamianensis,39812.6,,,,,224.0,,,
Artiodactyla,kuhlii,54999.99,,,1.0,,227.49,,,
Artiodactyla,porcinus,37448.29,21.351,1.27134246575,1.0,2483.33,220.13,1.8,,False
Artiodactyla,babyrussa,92950.09,22.3,0.993150684932,2.0,715.0,156.5,4.5,0.583315068493,False
Artiodactyla,bolabatuensis,,,,,,,,,
Artiodactyla,celebensis,,20.652,,,,,,,
Chiroptera,infusca,,24.22,,,,,,,
Chiroptera,io,3.97,23.945,,,0.59,,,,
Chiroptera,plicata,6.57,21.678,,3.0,2.0,138.81,,0.160520547945,
Chiroptera,maculata,14.43,24.946,,1.0,,,,,
Rodentia,bengalensis,226.99,23.614,0.17402739726,,4.85,18.89,,0.0822739726027,
Rodentia,indica,583.09,22.878,0.399479452055,,9.77,20.26,,0.0747945205479,
Artiodactyla,niger,19094.32,25.98,,2.0,1940.0,126.0,,0.245178082192,
Artiodactyla,nigrifrons,14676.33,23.838,,1.0,,,,,
Artiodactyla,ogilbyi,18386.42,25.154,,,,121.66,,,
Artiodactyla,rufilatus,12114.57,25.992,,2.0,975.1,233.99,1.0,0.234493150685,True
Artiodactyla,silvicultor,62006.6,24.001,,2.0,4400.72,234.43,1.0,0.0956164383562,True
Artiodactyla,spadix,56857.02,22.271,,1.0,,,,,
Artiodactyla,weynsi,,23.461,,,,,,,
